OrderID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,ProductID,SupplierID,OrderQty,IsLate
ORD03259,2023-01-10,2023-01-24,2023-01-22,P0008,S013,47,0
ORD03771,2023-01-10,2023-01-16,2023-01-16,P0024,S012,56,0
ORD03849,2023-01-10,2023-01-16,2023-01-16,P0058,S007,464,0
ORD04801,2023-01-10,2023-01-20,2023-01-20,P0083,S009,181,0
ORD04923,2023-01-10,2023-01-21,2023-01-19,P0029,S020,255,0
ORD04961,2023-01-10,2023-01-20,2023-01-30,P0034,S012,342,1
ORD00780,2023-01-11,2023-01-21,2023-01-20,P0006,S013,258,0
ORD01157,2023-01-11,2023-01-17,2023-01-22,P0009,S002,471,1
ORD01179,2023-01-11,2023-01-24,2023-01-22,P0030,S001,474,0
ORD01975,2023-01-11,2023-01-22,2023-01-28,P0046,S001,402,1
ORD02310,2023-01-11,2023-01-16,2023-01-16,P0088,S020,201,0
ORD02363,2023-01-11,2023-01-20,2023-01-28,P0053,S014,373,1
ORD02734,2023-01-11,2023-01-25,2023-01-25,P0031,S003,470,0
ORD03628,2023-01-11,2023-01-17,2023-01-15,P0011,S004,15,0
ORD03920,2023-01-11,2023-01-18,2023-01-16,P0005,S017,174,0
ORD00363,2023-01-12,2023-01-27,2023-01-30,P0095,S011,134,1
ORD01734,2023-01-12,2023-01-18,2023-01-28,P0016,S019,64,1
ORD01839,2023-01-12,2023-01-19,2023-01-17,P0031,S006,97,0
ORD02056,2023-01-12,2023-01-26,2023-01-24,P0089,S015,232,0
ORD02110,2023-01-12,2023-01-25,2023-01-25,P0049,S010,481,0
ORD02807,2023-01-12,2023-01-18,2023-01-16,P0090,S008,266,0
ORD03092,2023-01-12,2023-01-18,2023-01-20,P0028,S020,434,1
ORD04209,2023-01-12,2023-01-19,2023-01-27,P0093,S014,83,1
ORD04409,2023-01-12,2023-01-20,2023-01-19,P0072,S013,338,0
ORD04784,2023-01-12,2023-01-22,2023-01-31,P0082,S019,472,1
ORD00863,2023-01-13,2023-01-25,2023-01-23,P0026,S006,461,0
ORD01343,2023-01-13,2023-01-28,2023-01-27,P0032,S019,65,0
ORD01990,2023-01-13,2023-01-21,2023-01-20,P0073,S013,65,0
ORD02271,2023-01-13,2023-01-19,2023-01-18,P0004,S011,383,0
ORD02446,2023-01-13,2023-01-28,2023-01-27,P0011,S001,198,0
ORD02460,2023-01-13,2023-01-28,2023-01-28,P0062,S002,31,0
ORD02474,2023-01-13,2023-01-18,2023-01-18,P0043,S010,115,0
ORD02530,2023-01-13,2023-01-19,2023-01-17,P0026,S006,238,0
ORD03705,2023-01-13,2023-01-21,2023-01-19,P0072,S017,55,0
ORD04587,2023-01-13,2023-01-28,2023-01-26,P0021,S003,245,0
ORD04595,2023-01-13,2023-01-21,2023-01-20,P0095,S018,282,0
ORD04596,2023-01-13,2023-01-18,2023-01-16,P0038,S011,73,0
ORD00101,2023-01-14,2023-01-19,2023-01-23,P0076,S005,175,1
ORD00238,2023-01-14,2023-01-26,2023-01-24,P0100,S020,306,0
ORD00849,2023-01-14,2023-01-20,2023-01-19,P0018,S012,267,0
ORD01121,2023-01-14,2023-01-25,2023-01-24,P0020,S006,165,0
ORD01729,2023-01-14,2023-01-19,2023-01-17,P0020,S014,24,0
ORD02138,2023-01-14,2023-01-24,2023-01-22,P0038,S008,167,0
ORD02819,2023-01-14,2023-01-28,2023-02-04,P0015,S001,291,1
ORD02835,2023-01-14,2023-01-21,2023-01-21,P0042,S013,491,0
ORD02871,2023-01-14,2023-01-20,2023-01-20,P0079,S002,341,0
ORD02934,2023-01-14,2023-01-27,2023-01-26,P0072,S016,176,0
ORD03020,2023-01-14,2023-01-20,2023-01-20,P0004,S009,82,0
ORD03062,2023-01-14,2023-01-26,2023-02-03,P0070,S007,442,1
ORD03977,2023-01-14,2023-01-28,2023-01-26,P0044,S013,429,0
ORD04264,2023-01-14,2023-01-28,2023-01-28,P0069,S005,217,0
ORD04276,2023-01-14,2023-01-21,2023-01-20,P0009,S020,244,0
ORD01016,2023-01-15,2023-01-28,2023-02-01,P0093,S016,237,1
ORD01208,2023-01-15,2023-01-27,2023-01-25,P0062,S003,242,0
ORD01898,2023-01-15,2023-01-29,2023-01-28,P0094,S011,485,0
ORD02518,2023-01-15,2023-01-27,2023-01-30,P0060,S017,150,1
ORD03327,2023-01-15,2023-01-24,2023-01-23,P0100,S012,382,0
ORD03397,2023-01-15,2023-01-25,2023-01-23,P0069,S015,328,0
ORD03788,2023-01-15,2023-01-28,2023-02-07,P0061,S018,437,1
ORD03838,2023-01-15,2023-01-28,2023-01-31,P0062,S008,117,1
ORD04430,2023-01-15,2023-01-22,2023-01-20,P0049,S013,17,0
ORD04650,2023-01-15,2023-01-24,2023-01-22,P0084,S017,236,0
ORD04898,2023-01-15,2023-01-22,2023-01-29,P0046,S006,443,1
ORD00428,2023-01-16,2023-01-27,2023-01-27,P0034,S011,374,0
ORD01852,2023-01-16,2023-01-24,2023-01-26,P0064,S006,488,1
ORD01856,2023-01-16,2023-01-26,2023-02-03,P0049,S006,78,1
ORD02545,2023-01-16,2023-01-22,2023-01-20,P0100,S014,84,0
ORD03036,2023-01-16,2023-01-26,2023-01-25,P0011,S004,110,0
ORD03069,2023-01-16,2023-01-29,2023-01-28,P0039,S003,283,0
ORD03593,2023-01-16,2023-01-24,2023-01-28,P0054,S008,52,1
ORD03846,2023-01-16,2023-01-27,2023-01-25,P0071,S006,17,0
ORD03974,2023-01-16,2023-01-30,2023-01-28,P0031,S007,462,0
ORD03991,2023-01-16,2023-01-28,2023-02-06,P0085,S001,306,1
ORD04184,2023-01-16,2023-01-25,2023-01-25,P0035,S020,352,0
ORD00522,2023-01-17,2023-01-22,2023-01-20,P0026,S015,150,0
ORD00789,2023-01-17,2023-01-23,2023-01-23,P0005,S007,302,0
ORD01125,2023-01-17,2023-01-23,2023-01-22,P0049,S014,236,0
ORD01400,2023-01-17,2023-01-24,2023-01-23,P0073,S005,332,0
ORD01583,2023-01-17,2023-02-01,2023-02-09,P0086,S006,146,1
ORD02511,2023-01-17,2023-01-27,2023-01-26,P0090,S016,252,0
ORD02648,2023-01-17,2023-01-27,2023-01-25,P0061,S013,424,0
ORD03219,2023-01-17,2023-01-23,2023-01-21,P0041,S015,358,0
ORD03269,2023-01-17,2023-01-22,2023-01-21,P0087,S019,33,0
ORD03554,2023-01-17,2023-01-28,2023-02-05,P0006,S006,213,1
ORD03680,2023-01-17,2023-01-27,2023-01-27,P0051,S020,467,0
ORD03742,2023-01-17,2023-01-29,2023-01-29,P0008,S002,145,0
ORD04029,2023-01-17,2023-01-31,2023-01-29,P0042,S019,436,0
ORD00703,2023-01-18,2023-01-31,2023-01-31,P0079,S020,96,0
ORD00770,2023-01-18,2023-01-30,2023-01-30,P0067,S007,350,0
ORD01059,2023-01-18,2023-01-28,2023-02-05,P0070,S011,93,1
ORD01538,2023-01-18,2023-01-24,2023-01-23,P0070,S003,97,0
ORD01844,2023-01-18,2023-01-30,2023-02-05,P0018,S020,249,1
ORD01893,2023-01-18,2023-01-27,2023-01-26,P0011,S009,40,0
ORD02026,2023-01-18,2023-02-02,2023-02-02,P0090,S009,370,0
ORD02232,2023-01-18,2023-02-02,2023-02-06,P0024,S013,17,1
ORD02481,2023-01-18,2023-01-27,2023-02-04,P0027,S004,71,1
ORD02759,2023-01-18,2023-01-25,2023-01-24,P0014,S018,53,0
ORD02910,2023-01-18,2023-01-26,2023-01-24,P0056,S020,378,0
ORD03873,2023-01-18,2023-01-29,2023-01-27,P0072,S008,155,0
ORD04035,2023-01-18,2023-01-29,2023-01-29,P0011,S012,252,0
ORD04302,2023-01-18,2023-01-25,2023-01-28,P0065,S002,231,1
ORD04679,2023-01-18,2023-01-27,2023-01-27,P0022,S007,314,0
ORD04833,2023-01-18,2023-01-28,2023-01-26,P0065,S014,86,0
ORD04987,2023-01-18,2023-01-31,2023-01-29,P0023,S016,493,0
ORD00046,2023-01-19,2023-01-25,2023-01-31,P0015,S015,405,1
ORD00061,2023-01-19,2023-02-01,2023-01-31,P0013,S005,457,0
ORD00185,2023-01-19,2023-01-28,2023-01-28,P0084,S007,179,0
ORD00538,2023-01-19,2023-02-02,2023-02-01,P0093,S019,375,0
ORD00953,2023-01-19,2023-01-28,2023-01-26,P0034,S020,41,0
ORD01155,2023-01-19,2023-01-26,2023-01-26,P0034,S007,414,0
ORD01271,2023-01-19,2023-01-29,2023-01-27,P0095,S018,460,0
ORD01574,2023-01-19,2023-02-02,2023-02-02,P0046,S015,13,0
ORD01873,2023-01-19,2023-01-25,2023-01-23,P0095,S012,323,0
ORD02358,2023-01-19,2023-02-01,2023-02-09,P0074,S019,340,1
ORD02396,2023-01-19,2023-01-30,2023-01-28,P0055,S009,218,0
ORD02604,2023-01-19,2023-01-25,2023-01-24,P0039,S007,69,0
ORD02914,2023-01-19,2023-01-25,2023-01-28,P0031,S015,468,1
ORD03313,2023-01-19,2023-01-30,2023-01-30,P0088,S015,166,0
ORD03606,2023-01-19,2023-01-24,2023-01-22,P0044,S004,255,0
ORD03955,2023-01-19,2023-01-27,2023-01-26,P0076,S008,270,0
ORD04902,2023-01-19,2023-01-30,2023-01-29,P0056,S004,422,0
ORD04986,2023-01-19,2023-01-31,2023-01-29,P0035,S013,304,0
ORD00636,2023-01-20,2023-01-26,2023-01-31,P0072,S003,46,1
ORD01009,2023-01-20,2023-01-27,2023-01-25,P0012,S020,331,0
ORD01422,2023-01-20,2023-01-29,2023-02-01,P0042,S001,353,1
ORD01464,2023-01-20,2023-01-31,2023-01-31,P0025,S004,400,0
ORD01676,2023-01-20,2023-01-27,2023-02-04,P0011,S010,463,1
ORD02643,2023-01-20,2023-01-26,2023-01-24,P0001,S019,430,0
ORD02669,2023-01-20,2023-02-04,2023-02-03,P0051,S008,145,0
ORD03053,2023-01-20,2023-01-29,2023-01-27,P0064,S019,485,0
ORD03649,2023-01-20,2023-02-04,2023-02-04,P0018,S007,261,0
ORD03796,2023-01-20,2023-02-03,2023-02-02,P0071,S013,190,0
ORD04308,2023-01-20,2023-01-30,2023-02-09,P0017,S002,104,1
ORD04569,2023-01-20,2023-01-25,2023-01-23,P0076,S019,130,0
ORD04658,2023-01-20,2023-02-02,2023-02-02,P0085,S010,159,0
ORD04781,2023-01-20,2023-01-31,2023-01-30,P0037,S017,99,0
ORD00042,2023-01-21,2023-02-02,2023-02-01,P0036,S006,102,0
ORD00629,2023-01-21,2023-02-01,2023-02-01,P0050,S011,141,0
ORD00835,2023-01-21,2023-02-03,2023-02-11,P0051,S008,391,1
ORD01039,2023-01-21,2023-01-31,2023-02-09,P0091,S012,44,1
ORD01064,2023-01-21,2023-02-05,2023-02-04,P0004,S005,215,0
ORD01447,2023-01-21,2023-02-01,2023-01-31,P0097,S017,22,0
ORD02665,2023-01-21,2023-02-04,2023-02-02,P0097,S015,243,0
ORD02784,2023-01-21,2023-02-01,2023-02-01,P0077,S017,35,0
ORD03498,2023-01-21,2023-01-30,2023-01-30,P0091,S002,448,0
ORD03723,2023-01-21,2023-01-26,2023-01-24,P0066,S002,151,0
ORD03850,2023-01-21,2023-02-05,2023-02-06,P0038,S011,308,1
ORD03916,2023-01-21,2023-01-29,2023-01-29,P0095,S001,399,0
ORD04062,2023-01-21,2023-02-03,2023-02-01,P0071,S008,214,0
ORD04403,2023-01-21,2023-02-02,2023-02-02,P0017,S020,484,0
ORD00966,2023-01-22,2023-02-04,2023-02-03,P0079,S004,480,0
ORD01098,2023-01-22,2023-01-28,2023-02-06,P0076,S007,40,1
ORD01363,2023-01-22,2023-01-30,2023-01-28,P0029,S016,364,0
ORD01484,2023-01-22,2023-01-30,2023-01-30,P0049,S004,318,0
ORD02340,2023-01-22,2023-01-29,2023-01-29,P0010,S015,336,0
ORD02461,2023-01-22,2023-01-30,2023-01-30,P0065,S008,173,0
ORD02499,2023-01-22,2023-01-28,2023-01-27,P0071,S017,350,0
ORD02803,2023-01-22,2023-02-02,2023-01-31,P0087,S006,198,0
ORD04070,2023-01-22,2023-01-29,2023-01-31,P0077,S020,368,1
ORD04189,2023-01-22,2023-01-30,2023-02-06,P0097,S015,363,1
ORD04869,2023-01-22,2023-01-30,2023-01-30,P0034,S002,453,0
ORD01196,2023-01-23,2023-02-04,2023-02-03,P0096,S005,194,0
ORD01438,2023-01-23,2023-01-31,2023-01-29,P0064,S003,62,0
ORD01542,2023-01-23,2023-01-28,2023-02-02,P0028,S008,500,1
ORD01895,2023-01-23,2023-01-31,2023-01-29,P0056,S008,282,0
ORD01914,2023-01-23,2023-01-31,2023-01-31,P0065,S020,237,0
ORD02621,2023-01-23,2023-01-28,2023-01-28,P0054,S010,301,0
ORD02666,2023-01-23,2023-02-02,2023-02-12,P0081,S010,415,1
ORD02744,2023-01-23,2023-02-04,2023-02-02,P0010,S007,62,0
ORD02992,2023-01-23,2023-02-05,2023-02-03,P0060,S009,275,0
ORD03721,2023-01-23,2023-01-28,2023-01-26,P0044,S013,163,0
ORD04788,2023-01-23,2023-02-04,2023-02-13,P0067,S009,113,1
ORD00233,2023-01-24,2023-01-31,2023-01-30,P0067,S002,243,0
ORD00306,2023-01-24,2023-02-01,2023-02-01,P0034,S019,293,0
ORD00573,2023-01-24,2023-01-31,2023-01-31,P0043,S001,193,0
ORD00580,2023-01-24,2023-02-02,2023-02-02,P0091,S003,454,0
ORD00907,2023-01-24,2023-02-06,2023-02-04,P0040,S004,21,0
ORD01192,2023-01-24,2023-02-02,2023-02-01,P0039,S001,212,0
ORD01297,2023-01-24,2023-02-02,2023-02-02,P0091,S015,22,0
ORD01759,2023-01-24,2023-02-04,2023-02-12,P0022,S009,317,1
ORD01799,2023-01-24,2023-02-07,2023-02-06,P0030,S001,278,0
ORD02832,2023-01-24,2023-01-30,2023-02-02,P0055,S017,409,1
ORD03073,2023-01-24,2023-02-05,2023-02-07,P0024,S014,441,1
ORD03276,2023-01-24,2023-02-01,2023-02-01,P0002,S008,462,0
ORD04128,2023-01-24,2023-02-01,2023-02-01,P0074,S005,58,0
ORD04181,2023-01-24,2023-02-02,2023-02-01,P0020,S020,479,0
ORD00289,2023-01-25,2023-01-30,2023-01-30,P0070,S008,121,0
ORD00600,2023-01-25,2023-02-05,2023-02-04,P0066,S018,409,0
ORD01055,2023-01-25,2023-02-04,2023-02-07,P0080,S005,483,1
ORD01555,2023-01-25,2023-02-04,2023-02-03,P0024,S006,186,0
ORD01767,2023-01-25,2023-02-01,2023-02-07,P0089,S001,380,1
ORD02490,2023-01-25,2023-02-04,2023-02-10,P0059,S010,430,1
ORD02520,2023-01-25,2023-02-08,2023-02-17,P0063,S009,99,1
ORD02793,2023-01-25,2023-02-05,2023-02-03,P0016,S004,465,0
ORD02889,2023-01-25,2023-02-05,2023-02-06,P0013,S005,230,1
ORD03118,2023-01-25,2023-02-05,2023-02-03,P0036,S010,412,0
ORD03177,2023-01-25,2023-02-03,2023-02-01,P0083,S016,80,0
ORD04074,2023-01-25,2023-02-01,2023-02-01,P0024,S011,346,0
ORD04086,2023-01-25,2023-01-30,2023-01-30,P0051,S011,212,0
ORD04820,2023-01-25,2023-02-02,2023-02-01,P0039,S015,153,0
ORD04995,2023-01-25,2023-02-06,2023-02-05,P0022,S020,262,0
ORD00253,2023-01-26,2023-02-03,2023-02-03,P0013,S017,221,0
ORD00571,2023-01-26,2023-02-02,2023-02-01,P0047,S004,420,0
ORD01911,2023-01-26,2023-02-01,2023-02-01,P0088,S008,269,0
ORD02097,2023-01-26,2023-02-09,2023-02-08,P0036,S012,392,0
ORD02478,2023-01-26,2023-02-04,2023-02-03,P0057,S001,205,0
ORD02656,2023-01-26,2023-02-04,2023-02-03,P0060,S002,347,0
ORD02702,2023-01-26,2023-02-04,2023-02-02,P0097,S009,287,0
ORD02770,2023-01-26,2023-02-09,2023-02-09,P0031,S017,285,0
ORD03445,2023-01-26,2023-02-10,2023-02-18,P0057,S005,465,1
ORD03473,2023-01-26,2023-02-04,2023-02-02,P0029,S016,316,0
ORD03893,2023-01-26,2023-02-07,2023-02-05,P0060,S017,336,0
ORD04014,2023-01-26,2023-02-02,2023-02-01,P0024,S009,94,0
ORD04025,2023-01-26,2023-02-06,2023-02-16,P0093,S015,392,1
ORD04119,2023-01-26,2023-02-03,2023-02-01,P0062,S006,443,0
